Solution,Window,Sparsity,Precision,Test Instance,NUN Instance
"[[ 1.1063   1.247    1.247   ...  1.0854   1.1599   1.2143 ]
 [ 1.2143   1.1306   1.1306  ...  1.1222   1.0352   1.0829 ]
 [ 1.0829   1.0829   1.0829  ...  1.0452   1.0452   0.75635]
 ...
 [-0.83228 -0.83228 -1.2645  ... -1.792   -1.9642  -1.9642 ]
 [-1.7371  -1.7371  -1.2719  ... -1.6015  -1.5539  -1.5539 ]
 [-1.6602  -2.6419  -2.6419  ... -1.9056  -0.60882 -0.60882]]",41,0.7152777777777778,0.9126367,0,193
"[[ 1.7965   1.3664   1.3664  ...  1.1275  -0.28606 -0.28606]
 [ 1.0399   0.82888  0.82888 ...  0.57005  0.66164  0.66164]
 [-0.7838  -0.13475 -0.13475 ... -1.0307  -0.51701 -0.51701]
 ...
 [ 0.78095  0.38674  0.38674 ...  0.5707   1.3276   1.3276 ]
 [ 0.1502   0.16597  0.16597 ...  1.2015   0.72313  0.72313]
 [ 1.4275   1.0595   1.0595  ... -0.1862   0.74416  0.74416]]",66,0.5416666666666666,0.57216585,1,92
"[[ 0.024284  0.024284  0.58009  ...  0.48448   0.26573   0.26573 ]
 [ 0.3986    0.3986    0.61736  ...  0.38402   0.36295   0.36295 ]
 [ 0.47476   0.47476   0.47476  ...  0.55092   0.4148    0.4148  ]
 ...
 [-1.4933   -1.0076   -1.0076   ... -1.2598   -1.2598   -0.81458 ]
 [-0.81458  -1.5836   -1.5836   ... -1.9386   -1.9386   -1.5681  ]
 [-1.5681   -2.169    -2.169    ... -1.1602   -1.2754   -1.2754  ]]",59,0.5902777777777778,0.64100194,2,197
"[[ 0.024284  0.024284  0.58009  ...  0.48448   0.26573   0.26573 ]
 [ 0.3986    0.3986    0.61736  ...  0.38402   0.36295   0.36295 ]
 [ 0.47476   0.47476   0.47476  ...  0.55092   0.4148    0.4148  ]
 ...
 [-0.83245  -1.0892   -1.0892   ... -1.1334   -1.1334   -1.6008  ]
 [-1.6008   -1.53     -1.53     ... -1.4344   -1.5991   -1.7318  ]
 [-1.7318   -1.6345   -1.6345   ... -1.8062   -1.8345   -1.8345  ]]",64,0.5555555555555556,0.5447395,3,197
"[[ 1.3395   1.2335   1.2335  ...  1.3091   1.3112   1.3112 ]
 [ 1.1915   1.1652   1.1652  ...  1.1621   1.0434   1.0434 ]
 [ 1.0487   1.0487   1.1904  ...  0.81241  0.99091  0.99091]
 ...
 [ 0.6757  -2.527   -2.527   ... -0.36645 -0.36645 -0.26477]
 [-0.26477  1.5653   1.5653  ...  0.34526  1.6331  -0.22241]
 [-0.22241 -1.2307  -1.2307  ...  0.81127  0.44694  0.44694]]",63,0.5625,0.50045323,4,192
"[[ 0.86897  0.78862  0.78862 ...  1.1191   0.77454  0.78614]
 [ 0.78614  0.88057  0.88057 ...  0.93772  0.75797  0.70248]
 [ 0.70248  0.83418  0.83418 ...  0.78614  0.78614  0.82921]
 ...
 [-1.1787  -1.1787  -1.6409  ... -1.6542  -1.3999  -1.3999 ]
 [-1.8488  -1.8488  -1.59    ... -1.4419  -1.7338  -1.7338 ]
 [-1.5303  -1.9129  -1.9129  ... -1.9792  -1.8156  -1.8156 ]]",48,0.6666666666666666,0.53234375,5,192
"[[ 0.024284  0.024284  0.58009  ...  0.48448   0.26573   0.26573 ]
 [ 0.3986    0.3986    0.61736  ...  0.38402   0.36295   0.36295 ]
 [ 0.47476   0.47476   0.47476  ...  0.55092   0.4148    0.4148  ]
 ...
 [-1.4246   -1.4246   -1.1804   ... -0.81863  -0.8578   -0.8578  ]
 [-1.1228   -1.1228   -0.78407  ... -0.98913  -0.98913  -0.64353 ]
 [-0.64353  -0.83015  -0.83015  ... -0.14586  -0.062913 -0.062913]]",49,0.6597222222222222,0.5887841,6,197
"[[-0.18454  0.33115  0.33115 ... -0.10321  0.55665  0.55665]
 [ 0.20361  0.20361  0.12598 ...  0.52338  0.48272  0.48272]
 [ 0.69343  0.69343  0.44205 ...  0.32376  1.1333   1.1333 ]
 ...
 [-1.874   -1.8066  -1.8066  ... -1.4297  -1.4297  -1.295  ]
 [-1.295   -0.67232 -0.67232 ... -0.31553 -0.31553 -0.50066]
 [-0.50066 -0.41314 -0.41314 ... -0.46363 -0.1607  -0.1607 ]]",72,0.5,0.5477879,7,192
"[[ 1.5415  1.685   1.685  ...  1.3979  1.3341  1.3075]
 [ 1.3075  1.5723  1.5723 ...  1.1884  1.2692  1.4638]
 [ 1.4638  1.2458  1.2458 ...  1.1384  1.1384  1.4234]
 ...
 [-1.0203 -1.0203 -1.6181 ... -1.5038 -1.3036 -1.3036]
 [-1.444  -1.444  -1.4778 ... -2.0054 -1.6155 -1.6155]
 [-1.6545 -1.34   -1.34   ... -1.3842 -1.249  -1.249 ]]",26,0.8194444444444444,0.5721912,8,192
"[[ 0.17151  0.34925  0.34925 ...  0.60188  0.51201  0.51201]
 [ 0.50203  0.50203  0.56593 ...  0.75266  0.4551   0.4551 ]
 [ 0.66679  0.66679  0.77862 ...  0.94738  0.93739  0.93739]
 ...
 [-0.92557 -0.77336 -0.77336 ... -0.92557 -0.92557 -1.3822 ]
 [-1.3822  -1.3935  -1.3935  ... -0.59861 -0.59861 -2.0981 ]
 [-2.0981  -0.95939 -0.95939 ... -1.1567  -2.1038  -2.1038 ]]",30,0.7916666666666666,0.5672785,9,192
"[[ 0.41233  0.54471  0.54471 ...  0.63825  0.78411  0.64142]
 [ 0.64142  0.72466  0.72466 ...  0.81344  0.81344  0.75557]
 [ 0.75557  0.91016  0.91016 ...  0.79204  0.79204  0.81107]
 ...
 [-1.1085  -1.1085  -1.2224  ... -0.98014 -1.1518  -1.1518 ]
 [-1.1633  -1.1633  -1.0407  ... -1.3508  -1.3782  -1.3782 ]
 [-1.4662  -1.1907  -1.1907  ... -1.3897  -1.4359  -1.4359 ]]",41,0.7152777777777778,0.99354374,10,193
