Solution,Window,Sparsity,Precision,Test Instance,NUN Instance
"[[0.4199  0.35568]
 [0.25688 0.18278]
 [0.12844 0.06916]
 ...
 [0.05928 0.10868]
 [0.05928 0.04446]
 [0.0494  0.04446]]",539,0.17265625,0.5043498,0,1
"[[-0.0247  -0.01976]
 [-0.03952 -0.03458]
 [-0.03458 -0.03952]
 ...
 [ 0.0494   0.05928]
 [ 0.05434  0.03458]
 [ 0.05434  0.05434]]",1,0.9984375,0.63502026,1,5
"[[-0.02964  0.01482]
 [ 0.00988  0.04446]
 [ 0.05928  0.07904]
 ...
 [ 0.08892  0.05434]
 [ 0.03952  0.03458]
 [ 0.0247   0.04446]]",373,0.434375,0.5015064,2,14
"[[-0.06422 -0.04446]
 [-0.06422 -0.08398]
 [-0.08892 -0.1235 ]
 ...
 [ 0.00988  0.01482]
 [ 0.00988  0.0247 ]
 [ 0.02964 -0.01482]]",588,0.10625,0.50770295,3,14
"[[-0.11264 -0.09152]
 [-0.07744 -0.04224]
 [-0.00704 -0.00704]
 ...
 [ 0.11184  0.12582]
 [ 0.11883  0.12582]
 [ 0.12582  0.12582]]",475,0.25859375,0.5014908,4,14
"[[-0.15314 -0.10374]
 [-0.0494   0.03952]
 [ 0.01976  0.0494 ]
 ...
 [ 0.10374  0.1482 ]
 [ 0.19266  0.15314]
 [ 0.0988   0.03952]]",1,0.9984375,0.70436096,5,9
"[[-0.05391 -0.06589]
 [-0.08386 -0.04792]
 [-0.06589 -0.07787]
 ...
 [ 0.07514  0.09248]
 [ 0.07514  0.15028]
 [ 0.2023   0.2312 ]]",435,0.3203125,0.5699377,6,14
"[[0.12844 0.12844]
 [0.16302 0.1729 ]
 [0.16796 0.15314]
 ...
 [0.09386 0.0988 ]
 [0.09386 0.08892]
 [0.10374 0.11362]]",331,0.4921875,0.5045204,7,9
"[[-0.08398 -0.08398]
 [-0.06916 -0.05928]
 [-0.06422 -0.06916]
 ...
 [ 0.01976  0.01482]
 [ 0.00988  0.01976]
 [ 0.00494  0.01482]]",387,0.4171875,0.5007885,8,14
"[[-0.05928 -0.04446]
 [-0.05434 -0.05928]
 [-0.0494  -0.03458]
 ...
 [ 0.03458  0.03458]
 [ 0.03952  0.03458]
 [ 0.03952  0.03458]]",366,0.4484375,0.50065845,9,14
"[[ 0.00988  0.     ]
 [ 0.00988  0.01482]
 [ 0.0247   0.02964]
 ...
 [-0.01976 -0.01482]
 [-0.00494 -0.04446]
 [-0.16302 -0.15808]]",462,0.3015625,0.50003624,10,14
"[[-0.1224  -0.1326 ]
 [-0.1326  -0.1275 ]
 [-0.1479  -0.1938 ]
 ...
 [-0.01656 -0.02208]
 [-0.03312 -0.03864]
 [-0.04416 -0.06072]]",1,0.9984375,0.85027903,11,9
"[[-0.03425 -0.03425]
 [-0.02055 -0.0137 ]
 [-0.0137  -0.0411 ]
 ...
 [ 0.       0.     ]
 [ 0.      -0.00671]
 [-0.00671  0.00671]]",442,0.309375,0.5030959,12,14
"[[-0.10868 -0.11856]
 [-0.16302 -0.13832]
 [-0.10868 -0.13338]
 ...
 [ 0.08398  0.07904]
 [ 0.08398  0.08892]
 [ 0.09386  0.07904]]",356,0.45625,0.5118536,13,9
"[[-0.07137 -0.01647]
 [-0.01098  0.01098]
 [-0.04392 -0.0549 ]
 ...
 [ 0.10115  0.0833 ]
 [ 0.10115  0.05355]
 [ 0.0238   0.01785]]",4,0.99375,0.5430943,14,14
