Solution,Window,Sparsity,Precision,Test Instance,NUN Instance
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",19,0.9240196078431373,0.99996424,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",18,0.9248366013071896,0.99943024,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",17,0.9313725490196079,0.9912907,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",16,0.9428104575163399,0.9487123,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",15,0.9313725490196079,0.99374664,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",14,0.9534313725490197,0.9638759,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",13,0.9526143790849673,0.97078663,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",12,0.9256535947712419,0.863067,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",11,0.9297385620915033,0.844528,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",10,0.928921568627451,0.6675533,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",9,0.9150326797385621,0.63889444,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",8,0.9305555555555556,0.5917158,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",7,0.9297385620915033,0.554625,0,68
"[[-0.597549 -0.581217 -0.592066 ...  0.541594  0.5495    0.247083]
 [ 0.191162  0.005195 -0.685412 ... -0.713343 -0.742404 -0.823212]
 [-0.801864 -0.762702 -0.682196 ...  0.041314  0.036757 -0.045099]
 ...
 [-0.135469 -0.095192 -0.090881 ... -0.806243 -0.804118 -0.805056]
 [-0.803497 -0.803804 -0.806841 ... -0.955515 -1.35423  -1.493602]
 [-1.446228 -1.171538 -0.730646 ... -0.84923  -0.819915 -0.787852]]",6,0.9305555555555556,0.52525747,0,68
"[[-0.607456 -0.611583 -0.605547 ... -2.478759 -2.350196 -2.218169]
 [-2.197657 -1.842788 -1.1581   ... -0.753074 -0.612031 -0.557092]
 [-0.600117 -0.633856 -0.633755 ... -0.630508 -0.192192 -0.022255]
 ...
 [ 0.919813  0.929117  0.948776 ... -0.817587 -0.902233 -0.834306]
 [-0.907525 -0.844719 -0.837644 ... -0.623465 -1.07224  -1.406182]
 [-1.61137  -1.904045 -1.027113 ... -0.64645  -0.646006 -0.70604 ]]",17,0.8929738562091504,0.7967718,1,88
"[[-0.607456 -0.611583 -0.605547 ... -2.478759 -2.350196 -2.218169]
 [-2.197657 -1.842788 -1.1581   ... -0.753074 -0.612031 -0.557092]
 [-0.600117 -0.633856 -0.633755 ... -0.630508 -0.192192 -0.022255]
 ...
 [ 0.919813  0.929117  0.948776 ... -0.817587 -0.902233 -0.834306]
 [-0.907525 -0.844719 -0.837644 ... -0.623465 -1.07224  -1.406182]
 [-1.61137  -1.904045 -1.027113 ... -0.64645  -0.646006 -0.70604 ]]",16,0.8439542483660131,0.59661037,1,88
